experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,Z,A,N,half_life,decay_constant,decay_mode,specific_activity,remaining_3hl,binding_energy
Uranium_238_decay,f64,11,5000,2211.1084,2211.1084,2211.1084,0,454545.45454545453,²³⁸U (Uranium) | t½=4.468e9 years | λ=4.9156e-18 s⁻¹ | alpha | A_sp=1.244e4 Bq/g,Alpha,²³⁸U,Uranium,92,238,146,4.468e9 years,4.9156e-18 s⁻¹,alpha,1.244e4 Bq/g,125000 / 1M after 3 half-lives,7.571 MeV/nucleon
Uranium_235_decay,f64,11,5000,2212.5104,2212.5104,2212.5104,0,454545.45454545453,²³⁵U (Uranium) | t½=704000000.00 years | λ=3.1197e-17 s⁻¹ | alpha | A_sp=7.995e4 Bq/g,Alpha,²³⁵U,Uranium,92,235,143,704000000.00 years,3.1197e-17 s⁻¹,alpha,7.995e4 Bq/g,125000 / 1M after 3 half-lives,7.565 MeV/nucleon
Thorium_232_decay,f64,11,5000,2288.2604,2288.2604,2288.2604,0,454545.45454545453,²³²Th (Thorium) | t½=1.405e10 years | λ=1.5632e-18 s⁻¹ | alpha | A_sp=4.058e3 Bq/g,Alpha,²³²Th,Thorium,90,232,142,1.405e10 years,1.5632e-18 s⁻¹,alpha,4.058e3 Bq/g,125000 / 1M after 3 half-lives,7.570 MeV/nucleon
Potassium_40_decay,f64,11,5000,2253.5524,2253.5524,2253.5524,0,454545.45454545453,⁴⁰K (Potassium) | t½=1.248e9 years | λ=1.7598e-17 s⁻¹ | beta- (electron emission) | A_sp=2.650e5 Bq/g,Other,⁴⁰K,Potassium,19,40,21,1.248e9 years,1.7598e-17 s⁻¹,beta- (electron emission),2.650e5 Bq/g,125000 / 1M after 3 half-lives,7.457 MeV/nucleon
Carbon_14_decay,f64,11,5000,2288.7224,2288.7224,2288.7224,0,454545.45454545453,¹⁴C (Carbon) | t½=5730.00 years | λ=3.8330e-12 s⁻¹ | beta- (electron emission) | A_sp=1.649e11 Bq/g,Other,¹⁴C,Carbon,6,14,8,5730.00 years,3.8330e-12 s⁻¹,beta- (electron emission),1.649e11 Bq/g,125000 / 1M after 3 half-lives,7.517 MeV/nucleon
Radium_226_decay,f64,11,5000,2248.7484,2248.7484,2248.7484,0,454545.45454545453,²²⁶Ra (Radium) | t½=1600.00 years | λ=1.3727e-11 s⁻¹ | alpha emission | A_sp=3.658e10 Bq/g,Other,²²⁶Ra,Radium,88,226,138,1600.00 years,1.3727e-11 s⁻¹,alpha emission,3.658e10 Bq/g,125000 / 1M after 3 half-lives,7.568 MeV/nucleon
Strontium_90_decay,f64,11,5000,2289.7524,2289.7524,2289.7524,0,454545.45454545453,⁹⁰Sr (Strontium) | t½=28.79 years | λ=7.6286e-10 s⁻¹ | beta- (electron emission) | A_sp=5.105e12 Bq/g,Other,⁹⁰Sr,Strontium,38,90,52,28.79 years,7.6286e-10 s⁻¹,beta- (electron emission),5.105e12 Bq/g,125000 / 1M after 3 half-lives,7.525 MeV/nucleon
Cesium_137_decay,f64,11,5000,2306.1984,2306.1984,2306.1984,0,454545.45454545453,¹³⁷Cs (Cesium) | t½=30.17 years | λ=7.2804e-10 s⁻¹ | beta- (electron emission) | A_sp=3.200e12 Bq/g,Other,¹³⁷Cs,Cesium,55,137,82,30.17 years,7.2804e-10 s⁻¹,beta- (electron emission),3.200e12 Bq/g,125000 / 1M after 3 half-lives,7.552 MeV/nucleon
Iodine_131_decay,f64,11,5000,2275.4884,2275.4884,2275.4884,0,454545.45454545453,¹³¹I (Iodine) | t½=8.03 days | λ=9.9967e-7 s⁻¹ | beta- (electron emission) | A_sp=4.596e15 Bq/g,Other,¹³¹I,Iodine,53,131,78,8.03 days,9.9967e-7 s⁻¹,beta- (electron emission),4.596e15 Bq/g,125000 / 1M after 3 half-lives,7.548 MeV/nucleon
Cobalt_60_decay,f64,11,5000,2287.7904,2287.7904,2287.7904,0,454545.45454545453,⁶⁰Co (Cobalt) | t½=5.27 years | λ=4.1664e-9 s⁻¹ | beta- | A_sp=4.182e13 Bq/g,Beta,⁶⁰Co,Cobalt,27,60,33,5.27 years,4.1664e-9 s⁻¹,beta-,4.182e13 Bq/g,125000 / 1M after 3 half-lives,7.489 MeV/nucleon
Plutonium_239_decay,f64,11,5000,2226.7124,2226.7124,2226.7124,0,454545.45454545453,²³⁹Pu (Plutonium) | t½=24110.00 years | λ=9.1094e-13 s⁻¹ | alpha | A_sp=2.295e9 Bq/g,Alpha,²³⁹Pu,Plutonium,94,239,145,24110.00 years,9.1094e-13 s⁻¹,alpha,2.295e9 Bq/g,125000 / 1M after 3 half-lives,7.563 MeV/nucleon
Americium_241_decay,f64,11,5000,2238.9024,2238.9024,2238.9024,0,454545.45454545453,²⁴¹Am (Americium) | t½=432.20 years | λ=5.0816e-11 s⁻¹ | alpha | A_sp=1.270e11 Bq/g,Alpha,²⁴¹Am,Americium,95,241,146,432.20 years,5.0816e-11 s⁻¹,alpha,1.270e11 Bq/g,125000 / 1M after 3 half-lives,7.561 MeV/nucleon
